code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
surface,5,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.00036,1.0136229991912842
surface,5,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.00032,1.0012166500091553
surface,5,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.00048,1.015228271484375
surface,5,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.00088,0.9898295402526855
surface,7,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.00096,2.4384818077087402
surface,7,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.00116,2.6328513622283936
surface,7,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.00116,2.5019285678863525
surface,7,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.00114,2.4537267684936523
surface,7,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.00132,2.5442144870758057
surface,9,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.00552,7.36081075668335
surface,9,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.00568,4.13677978515625
surface,9,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.00548,6.830036401748657
surface,9,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.00564,6.251044750213623
surface,9,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.00626,7.0399088859558105
surface,11,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.03142,19.607712030410767
surface,11,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.03158,18.892303228378296
surface,11,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.03358,17.107682943344116
surface,11,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.03386,17.03886342048645
surface,11,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.03566,19.457287788391113
surface,13,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.16684,44.840635776519775
surface,13,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.17158,46.32463026046753
surface,13,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.17036,47.312723875045776
surface,13,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.17424,49.06309938430786
surface,13,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.17894,48.944318532943726
